id;denumire;descriere;puncte_credit;an_de_studiu
1;indigo B2B Slee;Guyana override functionXXXXXX;2;1
2;alarm Tactics I;SloveniaXXXXXXXXXXXXXXXXXXXXXX;2;3
3;Sri Lanka Quali;District synthesizing initiatives;2;4
4;card coherent T;Directives Berkshire staticXXX;4;2
5;Baby Washington;Investment AccountXXXXXXXXXXXX;5;2
6;emulation Perse;Orchestrator Personal Loan Account;3;2
7;Tuna;Democratic People's Republic of Korea Tunisia;3;4
8;Angola Licensed;Applications HandcraftedXXXXXX;5;3
9;Credit Card Acc;COMXXXXXXXXXXXXXXXXXXXXXXXXXXX;3;4
10;Planner Sleek e;Orchestrator circuitXXXXXXXXXX;2;3
